Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 2, Diff=4.76778e-05
Step 3, Diff=3.44701e-05
Step 4, Diff=2.74961e-05
Step 5, Diff=2.31095e-05
Step 6, Diff=2.00647e-05
Step 7, Diff=1.78124e-05
Step 8, Diff=1.60705e-05
Step 9, Diff=1.46779e-05
Step 10, Diff=1.3536e-05
Step 11, Diff=1.25805e-05
Step 12, Diff=1.17677e-05
Step 13, Diff=1.10667e-05
Step 14, Diff=1.04551e-05
Step 15, Diff=9.91628e-06
Step 16, Diff=9.43747e-06
Step 17, Diff=9.00879e-06
Step 18, Diff=8.62249e-06
Step 19, Diff=8.27232e-06
Step 20, Diff=7.95326e-06
Step 21, Diff=7.66118e-06
Step 22, Diff=7.39265e-06
Step 23, Diff=7.14483e-06
Step 24, Diff=6.91532e-06
Step 25, Diff=6.70208e-06
Step 26, Diff=6.50337e-06
Step 27, Diff=6.31769e-06
Step 28, Diff=6.14376e-06
Step 29, Diff=5.98044e-06
Step 30, Diff=5.82675e-06
Step 31, Diff=5.68183e-06
Step 32, Diff=5.54493e-06
Step 33, Diff=5.41536e-06
Step 34, Diff=5.29252e-06
Step 35, Diff=5.1759e-06
Step 36, Diff=5.06499e-06
Step 37, Diff=4.95939e-06
Step 38, Diff=4.85869e-06
Step 39, Diff=4.76256e-06
Step 40, Diff=4.67067e-06
Step 41, Diff=4.58274e-06
Step 42, Diff=4.49851e-06
Step 43, Diff=4.41773e-06
Step 44, Diff=4.3402e-06
Step 45, Diff=4.26571e-06
Step 46, Diff=4.19408e-06
Step 47, Diff=4.12514e-06
Step 48, Diff=4.05873e-06
Step 49, Diff=3.99471e-06
Step 50, Diff=3.93296e-06
Step 51, Diff=3.87334e-06
Step 52, Diff=3.81574e-06
Step 53, Diff=3.76006e-06
Step 54, Diff=3.7062e-06
Step 55, Diff=3.65407e-06
Step 56, Diff=3.60358e-06
Step 57, Diff=3.55465e-06
Step 58, Diff=3.50722e-06
Step 59, Diff=3.46119e-06
Step 60, Diff=3.41653e-06
Step 61, Diff=3.37315e-06
Step 62, Diff=3.33101e-06
Step 63, Diff=3.29004e-06
Step 64, Diff=3.25021e-06
Step 65, Diff=3.21146e-06
Step 66, Diff=3.17374e-06
Step 67, Diff=3.13701e-06
Step 68, Diff=3.10124e-06
Step 69, Diff=3.06638e-06
Step 70, Diff=3.0324e-06
Step 71, Diff=2.99926e-06
Step 72, Diff=2.96694e-06
Step 73, Diff=2.93539e-06
Step 74, Diff=2.9046e-06
Step 75, Diff=2.87453e-06
Step 76, Diff=2.84515e-06
Step 77, Diff=2.81645e-06
Step 78, Diff=2.7884e-06
Step 79, Diff=2.76098e-06
Step 80, Diff=2.73416e-06
Step 81, Diff=2.70792e-06
Step 82, Diff=2.68225e-06
Step 83, Diff=2.65712e-06
Step 84, Diff=2.63252e-06
Step 85, Diff=2.60843e-06
Step 86, Diff=2.58483e-06
Step 87, Diff=2.56171e-06
Step 88, Diff=2.53906e-06
Step 89, Diff=2.51685e-06
Step 90, Diff=2.49508e-06
Step 91, Diff=2.47373e-06
Step 92, Diff=2.45279e-06
Step 93, Diff=2.43224e-06
Step 94, Diff=2.41208e-06
Step 95, Diff=2.3923e-06
Step 96, Diff=2.37288e-06
Step 97, Diff=2.35381e-06
Step 98, Diff=2.33508e-06
Step 99, Diff=2.31669e-06
Step 100, Diff=2.29862e-06
Step 101, Diff=2.28087e-06
Step 102, Diff=2.26342e-06
Step 103, Diff=2.24627e-06
Step 104, Diff=2.22941e-06
Step 105, Diff=2.21284e-06
Step 106, Diff=2.19654e-06
Step 107, Diff=2.18051e-06
